Year	# of Tornadoes						
2021	48						
2020	35						
2019	50						
2018	51						
2017	19						
2016	39						
2015	57						
2014	50						
2013	27						
2012	34						
2011	21						
2010	71						
2009	46						
2008	40						
2007	57						
2006	21						
2005	34						
2004	84						
2003	30						
2002	25						
2001	46						
2000	60						
1999	41						
1998	38						
1997	47						
1996	98						
1995	45						
1994	35						
1993	6						
1992	82						
1991	76						
1990	57						
1989	22						
1988	48						
1987	40						
1986	21						
1985	26						
1984	41						
1983	32						
1982	58						
1981	26						
1980	26						
1979	37						
1978	18						
1977	32						
1976	42						
1975	20						
1974	12						
1973	11						
1972	11						
1971	16						
1970	5						
1969	10						
1968	6						
1967	21						
1966	11						
1965	32						
1964	2						
1963	3						
1962	25						
1961	13						
1960	14						
1959	1						
1958	18						
1957	26						
1956	10						
1955	19						
1954	9						
1953	14						
1952	3						
1951	8						
1950	3						
